Sl. No.,Name of the Block,State,Year,Total Approved Cost (Rs. in Lakh)
1,Mandri-Panchala Block District- Nagpur Maharashtra.,Maharashtra,2016-17,130.31
2,Lanjera-Futala Block District- Nagpur Maharashtra.,Maharashtra,2016-17,148.98
3,Kalakhunta Block Khushalgarh Tehsil District- Banswara Rajasthan.,Rajasthan,2016-17,274.83
4,Ambadala-Sunakhunti Area District- Rayagada and Kalahandi Odisha.,Odisha,2016-17,238.121
5,Udwara Area District- Alirajpur Madhya Pradesh.,Madhya Pradesh,2016-18,439.574
6,Rengali Block District- Bolangir Odisha.,Odisha,2017-18,284.1
7,Rengali Block District- Bolangir Odisha.,Odisha,2017-18,351.494
8,Tamiya Block District- Bolangir Odisha.,Odisha,2017-18,246.43
9,Tamiya Block District- Bolangir Odisha.,Odisha,2017-18,248.78
10,Biarpalli Block District- Bolangir Odisha.,Odisha,2017-18,151.34
11,Biarpalli Block District- Bolangir Odisha.,Odisha,2017-18,374.497
12,Babja Block District- Bolangir Odisha.,Odisha,2017-18,107.91
13,Babja Block District- Bolangir Odisha.,Odisha,2017-18,144.302
14,Tentuliguda Block district- Koraput Odisha.,Odisha,2018-19,28.22
15,Dunguripalli Block District- Bolangir Odisha.,Odisha,2018-19,158.55
16,Pimperkunta block Bheempur mandal District- Adilabad Telangana.,Telangana,2019-20,157.22
17,Rengali Graphite block District- Balangir Odisha.,Odisha,2020-21,411.3
18,Antapali Block District- Balangir Odisha.,Odisha,2020-21,155.77
19,Kumiapali Block District- Bolangir Odisha.,Odisha,2020-21,237.99
20,Larambha-Kanaital and Pudapadar-Bharatbahal blocks (135.0 sq. km) District: Balangir Odisha,Odisha,2021-22,193.51
21,Lashi block (1.60 sq. km) District: Sundargarh Odisha,Odisha,2021-22,180.41
22,Hardatal block (1.38 sq. km) District: Balangir Odisha,Odisha,2022-23,152.37
23,Rongha block (38.34 sq. km) District: Nagpur Maharashtra,Maharashtra,2022-23,90.18
Total,Total,Total,Total,4906.188
