Sl. No.,State,Commodity,Number of exploration Projects taken up - 2020-21,Number of exploration Projects taken up - 2021-22,Number of exploration Projects taken up - 2022-23,Number of exploration Projects taken up - 2023-24
1,Assam,Coal,0,0,0,0
2,Nagaland,Coal,1,1,1,1
3,Andhra Pradesh,Coal,0,0,0,0
4,Telangana,Coal,2,1,0,1
5,Chhattisgarh,Coal,2,2,2,3
6,Madhya Pradesh,Coal,3,1,1,2
7,Maharashtra,Coal,2,2,2,2
8,Bihar,Coal,3,1,2,1
9,Odisha,Coal,5,2,3,4
10,West Bengal,Coal,0,0,0,2
11,Jharkhand,Coal,3,0,1,0
12,Rajasthan,Lignite,1,0,0,0
13,Tamil Nadu,Lignite,2,1,1,1
Total,Total,NA,24,11,13,17
