year,is_forecast,domestic_production_kt,national_demand_kt,imports_kt,production_shortfall_kt,import_dependency_percent,high_grade_shortfall_kt
2014,False,2380,4450,2110,2070,47.4,869.4
2015,False,2150,4350,2240,2200,51.5,924.0
2016,False,2390,4920,2580,2530,52.4,1062.6
2017,False,2590,5750,3210,3160,55.8,1327.2
2018,False,2820,6210,3450,3390,55.6,1423.8
2019,False,2900,5980,3120,3080,52.2,1293.6
2020,False,2700,5550,2900,2850,52.3,1197.0
2021,False,2800,6100,3350,3300,54.9,1386.0
2022,False,2950,6600,3700,3650,56.1,1533.0
2023,False,3100,7150,4100,4050,57.3,1701.0
2024,False,3250,7550,4350,4300,57.6,1806.0
2025,False,3400,7950,4600,4550,57.9,1911.0
2026,True,3550,8450,4900,4900,58.0,2058.0
2027,True,3700,9000,5300,5300,58.9,2226.0
2028,True,3850,9600,5750,5750,59.9,2415.0
2029,True,4000,10250,6250,6250,61.0,2625.0
2030,True,4150,11000,6850,6850,62.3,2877.0
