i_x,dep_id,name,dev_stat,url,code_list,longitude,latitude,i_y,line,commod,code,commod_tp,commod_group,import,inserted_by,insert_date,updated_by,update_date,fips,quad,huc
1220,10158629,Laugur Mine,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10158629, FE ,80.35034,21.92946,232439,2,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:01:36,fIN,,
3013,10090244,Cape Gadani,Occurrence,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10090244, MN ,69.38662,29.96588,126715,1,Manganese,MN,Metallic,Manganese,Tertiary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:01:08,fPK,,
4589,10304411,"Kodur, Garbham, and Perapi Mines",Past Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10304411, FE ,83.55025,18.27479,189348,2,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:02:36,fIN,,
8508,10183530,Manegaon Mines,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183530, FE ,80.26034,21.82947,56860,2,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:01:45,fIN,,
10459,10134171,Goguldoho Mines: Western and East,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10134171, MN ,79.43036,21.40951,232095,1,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:01:26,fIN,,
11605,10279384,Maharashtra/Mahya Pradesh Area,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10279384, MN ,79.00038,21.99947,365180,1,Manganese,MN,Metallic,Manganese,Primary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:02:26,fIN,,
16210,10255709,Kuttinga,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10255709, MN ,83.46695,19.1664,290142,1,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:02:17,fIN,,
16682,10003853,Kanatola,Occurrence,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003853, MN ,80.35034,21.87447,193186,1,Manganese,MN,Metallic,Manganese,Primary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:00:26,fIN,,
18975,10003832,Adilabad,Occurrence,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003832, MN ,79.61656,22.88286,157992,1,Manganese,MN,Metallic,Manganese,Primary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:02:42,fIN,,
22942,10231471,Barbil,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231471, MN ,85.3502,22.11614,239461,1,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:02:05,fIN,,
23584,10003845,Enkatola,Occurrence,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003845, MN ,80.16701,21.36618,193220,1,Manganese,MN,Metallic,Manganese,Primary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:00:26,fIN,,
25115,10207330,Junewani Mines Area:  Junewani Mi,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10207330, MN ,79.26036,21.4795,67157,1,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:01:54,fIN,,
25971,10003920,Thal,Occurrence,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003920, MN ,71.50063,33.66527,172515,1,Manganese,MN,Metallic,Manganese,Tertiary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:00:26,fPK,,
28384,10003873,Verlem,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003873, MN ,74.25048,15.0501,189994,1,Manganese,MN,Metallic,Manganese,Primary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:00:26,fIN,,
33193,10021438,Siljora Mine,Producer,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10021438, MN ,84.50478,20.56599,90678,1,Manganese,MN,Metallic,Manganese,Primary,MRDS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:00:36,fIN,,
34010,10133872,Chorbaoli-Muknapur Manganese Ore,Prospect,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10133872, MN ,79.31036,21.4795,237748,1,Manganese,MN,Metallic,Manganese,Tertiary,MAS migration,29-OCT-2002 09:00:24,USGS,29-OCT-2002 09:01:26,fIN,,
