Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Bisbee,,Arizona,AR-26,Higgins Mine,MC0040,alabandite,,,,31.43820,-109.92065,MRDS,10026901,,Reference Hand Sample(s),Rock Bag,Y,70,0.794,794,A,3,,
Patagonia Mountains,,Arizona,AR-25,,MC0042,alabandite,Harshaw Mining District,,,31.51458 ,-110.77596,MRDS,10108992,,Reference Hand Sample(s),Rock Bag,Y,60,0.78,780,A,3,,
Cochise County,,Arizona,AR-24,Humboldt Mine,MC0044,alabandite,"Round Valley, Cochise County, Arizona",,,31.95374,-109.16675,MRDS,10104051,,Reference Hand Sample(s),Rock Bag,Y,60,0.468,468,A,3,,
White Pine County,,Nevada,NE-17,Siegel Mine,MC0082,alabandite,Schellbourne Mining District,,,39.72882,-114.60892,MRDS,10037249,,Reference Hand Sample(s),Rock Bag,Y,80,0.38,380,A,6,,
Jefferson County,,Montana,MON-2,Wickes Manganese Prospect,MC0184,alabandite,,,Helen Jefferson,46.34910,-112.11338,MRDS,10294537,,Reference Hand Sample(s),Rock Bag,N,30,0.146,146,A,13,,
Butte ,,Montana,,,MC0189,alabandite,,,,46.01990,-112.53089,MRDS,10400191,,Reference Hand Sample(s),Envelope,N,40,0.174,174,A,13,,
Brazil,,Paraíba,LU-12,Serra Branca,MC0683,arrojadite,Arrojadita is noted on specimen.,,,-6.45054,-36.28388,MRDS,10105338,,Reference Hand Sample(s),Rock Bag,Y,50,1.872,"1,872",G,G1,,
Trinity County,,California,Cal-44,Spider Claim,MC0606,axinite,,,C.W. Chesterman,40.26905 ,-123.12171,MRDS,10190634,,"Reference Hand Sample(s),Sand",Rock Bag,N,15,0.852,852,E,E7,,
Kern County,,California,Cal-47,BHP Prospect,MC0615,axinite,,,,35.32110,-117.68673,MRDS,10033480,,Reference Hand Sample(s),Rock Bag,N,20,0.43,430,F,F1,,
Artillery Peak,,Arizona,AR-23,Chapin Claim 19,MC0033,barite,,,,34.33810,-113.63689,MRDS,10027664,,Reference Hand Sample(s),Rock Bag,N,20,0.214,214,A,3,,
Grand County,,Utah,,The Needles,MC0262,barite,Gustavus Claim,,,38.70388,-109.89681,MRDS,60000999,,Reference Hand Sample(s),Rock Bag,N,60,0.18,180,B,B1,,
Hidalgo del Parral,,Chihuahua,,,MC0488,barite,Parral Mine District,,,26.90031,-105.63384,MRDS,10105923,,Reference Hand Sample(s),Plastic Bag,Y,40,0.694,694,D,D4,,
Allende,,Chihuahua,M-21,Pavo Real Mine,MC0504,barite,,,Ivan F. Wilson,26.91698,-105.45051,MRDS,10098771,,Reference Hand Sample(s),Rock Bag,Y,80,1.074,"1,074",D,D5,,
Pershing County,,Nevada,NE-26,Black Diablo Mine,MC0109,bementite,,,,40.68160,-117.56626,MRDS,10295147,,Reference Hand Sample(s),Rock Bag,Y,70,1.102,"1,102",A,7,,
Clallam County,,Washington,,Thompson Claim,MC0196,bementite,,,John A. Straczek,48.06007,-123.66572,MRDS,10047897,,Reference Hand Sample(s),Rock Bag,Y,70,0.654,654,A,14,,
Independence County,,Arkansas,SE-11,Hankins Hollow Mine,MC0472,bementite,Coleman Land is noted on samples.,,,35.88119,-91.82705,MRDS,10138685,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,70,0.618,618,D,D3,,
Mendocino County,,California,Cal-123,Thomas Mine,MC0518,bementite,,,D.F. Hewett,39.31047,-123.17529,MRDS,10285652,,Reference Hand Sample(s),Rock Bag,Y,70,0.542,542,D,D6,,
Amador County,,California,Cal-140,State of California Mine,MC0552,bementite,,,,38.36460,-120.93322,MRDS,10114446,,Reference Hand Sample(s),Rock Bag,Y,55,0.192,192,E,E3,,
Trinity County,,California,Cal-37,Manganese Queen Mine,MC0616,bementite,Promise Mine is noted on samples.,,M.D. Crittenden,40.41818,-123.17805,MRDS,10109406,,Reference Hand Sample(s),Rock Bag,N,40,0.608,608,F,F1,,
Trinity County,,California,Cal-43,Manganese Queen Mine,MC0629,bementite,,,Parker D. Trask,40.41818,-123.17805,MRDS,10109406,,Reference Hand Sample(s),Rock Bag,N,30,0.446,446,F,F2,,
Stanislaus County,,California,Cal-62,Buckeye Mine,MC0637,bementite,,,,37.52714,-121.39546,MRDS,10033644,,Reference Hand Sample(s),Rock Bag,Y,55,1.276,"1,276",F,F3,,
Mason County,,Washington,,Black Hump Claims,MC0231,bementite ,Occurance is in the proximity of Lake Cushman's Boat Landing.,,,47.53062,-123.32932,MRDS,10055961,,Reference Hand Sample(s),Rock Bag,Y,55,0.082,82,A,16,,
Aguila District,,Arizona,AR-1-b,Hatton Claims,MC0004,black calcite,,,,33.62923,-113.11659,MRDS,10027068,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.424,424,A,1,,
Trigo Mountains,,Arizona,AR-1-c,,MC0005,black calcite,Cibola Mine Group,,,33.29256,-114.61469,MRDS,10113228,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.476,476,A,1,,
Yuma County,,Arizona,AR-2,Ballard Deposits,MC0010,black calcite,Castle Dome Mountains,,,33.04177,-114.16748,MRDS,60001554,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.16,160,A,1,,
Lincoln County,,Nevada,,Tempiute Silver Mine,MC0077,black calcite,,,,37.61246,-115.65254,MRDS,10105796,,Reference Hand Sample(s),Rock Bag,N,30,0.412,412,A,6,,
White Pine County,,Nevada,NE-9a,Eberhardt Mine,MC0079,black calcite,"Hamilton, Nevada noted on specimen.",,,39.21743,-115.48418,MRDS,10296039,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.578,578,A,6,,
Millard County,,Utah,UT-1,,MC0272,black calcite,"Conger Range,Utah",,,39.1630724,-114.0378192,Earth Point©,,"Northwest Section 18,T19S,R19W","Reference Hand Sample(s),Thin Section(s)",Rock Bag,N,30,0.922,922,B,B2,,
Catron County,,New Mexico,NM-6,Confidence Mine,MC0294,black calcite,,,,33.39592,-108.81925,MRDS,10012401,,Reference Hand Sample(s),Rock Bag,N,40,0.628,628,B,B3,,
Catron County,,New Mexico,NM-8,,MC0295,black calcite,Mogollon District,,,33.40453,-108.80092,MRDS,10069325,,Reference Hand Sample(s),Rock Bag,N,20,0.432,432,B,B3,,
Catron County,,New Mexico,NM-8,,MC0296,black calcite,Mogollon District,,,33.40453,-108.80092,MRDS,10069325,,"Reference Hand Sample(s),Powder",Rock Bag,Y,40,0.254,254,B,B3,,
Catron County,,New Mexico,NM-8,,MC0297,black calcite,Mogollon District,,,33.40453,-108.80092,MRDS,10069325,,Reference Hand Sample(s),Rock Bag,N,40,0.617,617,B,B3,,
Bisbee,,Arizona,AR-4,Higgins Mine,MC0002,braunite,,,,31.44294,-109.92205,MRDS,10112561,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.604,604,A,1,,
Izard County,,Arkansas,SE-8,Cummins Hollow Mine,MC0460,braunite,,,,35.89759,-91.83455,MRDS,10235424,,Reference Hand Sample(s),Rock Bag,Y,70,0.08,80,D,D2,,
Independence County,,Arkansas,SE-5,Ozark Mine,MC0462,braunite,,,,35.86979,-91.60454,MRDS,10235505,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.428,428,D,D2,,
San Felipe,,Zacatecas,M-19,San Felipe de Jesus Mine,MC0507,braunite,"""25 M les SE of Canitas, Zacs. Mex.""-P.D.Trask",Reference_29,Parker D. Trask,28.46667,-102.36667,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,80,0.03,30,D,D5,,
Plumas County,,California,Cal-131,Western Manganese,MC0564,braunite,,,,40.08317,-120.93494,MRDS,10261314,,Reference Hand Sample(s),Rock Bag,Y,85,1.182,"1,182",E,E4,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0650,braunite,,,,37.68075,-120.28127,MRDS,10030814,,Reference Hand Sample(s),Rock Bag,Y,55,1.82,"1,820",F,F4,,
Kings County,Nova Scotia,,C-16,Markhamville Mine,MC0658,braunite,WGS84 coordinates reported by New Brunswick Mineral Occurance Database.,Reference_5,Dr. P.R. Eakins,45.6153,-65.43996,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,55,0.436,436,F,F4,,
Philippines,,,,Dimanyang Mine,MC0765,braunite,"""Dimanyang Deposit, Tunnel 7 in Busuanga Island, Phillipines""-R.K. Sorem",,R.K. Sorem,12.11041 ,119.99934,MRDS,10280800,,Reference Hand Sample(s),Paper Bag,Y,60,0.082,82,G,G5,,
