dep_id	fips	quad	huc
10000001	f02201	q56135A1	h19010103
10000002	f02201	q56135C3	h19010103
10000003	f02201	q56135D3	h19010103
10000004	f02201	q56135C3	h19010103
10000005	f02201	q56135A1	h19010103
10000006	f02201	q56135A2	h19010103
10000007	f02201	q56135B3	h19010103
10000008	f02201	q56135C2	h19010103
10000009	f02201	q56135C2	h19010103
10000010	f02201	q56135A2	h19010103
10000011	f02201	q56135C1	h19010101
10000012	f02201	q56135A4	h19010103
10000013	f02201	q56135A1	h19010103
10000014	fUS02	q56135A1	
10000015	f02201	q56135A1	h19010103
10000016	f02201	q56135A1	h19010103
10000017	f02201	q56135B3	h19010103
10000018	fUS02	q56135C2	
10000019	f02201	q56135B2	h19010103
10000020	f02201	q56135A1	h19010103
10000021	f02201	q56135C1	h19010103
10000022	f02201	q56135C2	h19010103
10000023	f02201	q56135C2	h19010103
10000024	f02201	q56135B2	h19010103
10000025	fUS02	q56135A2	
10000026	f02201	q56135A1	h19010103
10000027	f02201	q56135A2	h19010103
10000028	f02201	q56135C2	h19010103
10000029	f02201	q56135C2	h19010103
10000030	fUS02	q56135A2	
10000031	f02201	q56135C3	h19010103
10000032	fUS02	q56135C5	
10000033	fUS02	q56135B5	
10000034	f02201	q56135C3	h19010103
10000035	f02201	q56135A1	h19010103
10000036	f02201	q56135C3	h19010103
10000037	f02201	q56135A1	h19010103
10000038	f02201	q56135C2	h19010103
10000039	f02201	q56135A1	h19010103
10000040	f02201	q56135C3	h19010103
10000041	f02201	q56135C1	h19010101
10000042	f02201	q56135A1	h19010103
10000043	f02201	q56135C1	h19010101
10000044	f02201	q56135A2	h19010103
10000045	f02201	q56135B3	h19010103
10000046	fUS02	q56135B2	
10000047	f02201	q56135A1	h19010103
10000048	f02201	q56135A1	h19010103
10000049	f02201	q56135C2	h19010103
10000050	f02201	q56135A2	h19010103
10000051	f02201	q56135B1	h19010103
10000052	f02201	q56135A1	h19010103
10000053	f02201	q56135C1	h19010101
10000054	fUS02	q56135A2	
10000055	f02201	q56135D5	h19010103
10000056	f02201	q56135A1	h19010103
10000057	f02201	q56135B5	h19010103
10000058	f02201	q56135A2	h19010103
10000059	f02201	q56135C2	h19010103
10000060	f02201	q56135B2	h19010103
10000061	fUS02	q56135A2	
10000062	f02280	q56135D7	h19010103
10000063	f02201	q56135A3	h19010103
10000064	f02201	q56135C3	h19010103
10000065	f02201	q56135A1	h19010103
10000066	f02201	q56135C2	h19010103
10000067	f02201	q56135B2	h19010103
10000068	f02201	q56135B2	h19010103
10000069	f02201	q56135C2	h19010103
10000070	f02201	q56135C2	h19010103
10000071	f02201	q56135C2	h19010103
10000072	f02201	q56135C2	h19010103
10000073	f02201	q56135C3	h19010103
10000074	fUS02	q56135A3	
10000075	f02201	q56135A1	h19010103
10000076	f02201	q56135C2	h19010103
10000077	f02201	q56135A2	h19010103
10000078	f02201	q56135A1	h19010103
