sample_id,patch_filename,patch_path,label,spatial_block_id,spatial_split
MN_OCC_0001,patch_MN_OCC_0001.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0001.npy,1,21_80,validation
MN_OCC_0002,patch_MN_OCC_0002.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0002.npy,1,29_69,test
MN_OCC_0003,patch_MN_OCC_0003.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0003.npy,1,18_83,validation
MN_OCC_0004,patch_MN_OCC_0004.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0004.npy,1,21_80,validation
MN_OCC_0005,patch_MN_OCC_0005.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0005.npy,1,21_79,train
MN_OCC_0006,patch_MN_OCC_0006.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0006.npy,1,21_79,train
MN_OCC_0007,patch_MN_OCC_0007.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0007.npy,1,19_83,train
MN_OCC_0008,patch_MN_OCC_0008.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0008.npy,1,21_80,validation
MN_OCC_0009,patch_MN_OCC_0009.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0009.npy,1,22_79,train
MN_OCC_0010,patch_MN_OCC_0010.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0010.npy,1,22_85,train
MN_OCC_0011,patch_MN_OCC_0011.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0011.npy,1,21_80,validation
MN_OCC_0012,patch_MN_OCC_0012.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0012.npy,1,21_79,train
MN_OCC_0013,patch_MN_OCC_0013.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0013.npy,1,33_71,train
MN_OCC_0014,patch_MN_OCC_0014.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0014.npy,1,15_74,train
MN_OCC_0015,patch_MN_OCC_0015.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0015.npy,1,20_84,test
MN_OCC_0016,patch_MN_OCC_0016.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0016.npy,1,21_79,train
MN_OCC_0017,patch_MN_OCC_0017.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0017.npy,1,14_79,train
MN_OCC_0018,patch_MN_OCC_0018.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0018.npy,1,23_87,train
MN_OCC_0019,patch_MN_OCC_0019.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0019.npy,1,21_80,validation
MN_OCC_0020,patch_MN_OCC_0020.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0020.npy,1,21_79,train
MN_OCC_0021,patch_MN_OCC_0021.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0021.npy,1,21_80,validation
MN_OCC_0022,patch_MN_OCC_0022.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0022.npy,1,21_80,validation
MN_OCC_0024,patch_MN_OCC_0024.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0024.npy,1,22_80,train
MN_OCC_0025,patch_MN_OCC_0025.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0025.npy,1,21_80,validation
MN_OCC_0026,patch_MN_OCC_0026.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0026.npy,1,15_73,validation
MN_OCC_0027,patch_MN_OCC_0027.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0027.npy,1,21_80,validation
MN_OCC_0028,patch_MN_OCC_0028.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0028.npy,1,21_80,validation
MN_OCC_0029,patch_MN_OCC_0029.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0029.npy,1,34_73,train
MN_OCC_0030,patch_MN_OCC_0030.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0030.npy,1,15_74,train
MN_OCC_0031,patch_MN_OCC_0031.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0031.npy,1,21_85,test
MN_OCC_0032,patch_MN_OCC_0032.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0032.npy,1,21_80,validation
MN_OCC_0033,patch_MN_OCC_0033.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0033.npy,1,21_80,validation
MN_OCC_0034,patch_MN_OCC_0034.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0034.npy,1,22_80,train
MN_OCC_0035,patch_MN_OCC_0035.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0035.npy,1,21_80,validation
MN_OCC_0036,patch_MN_OCC_0036.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0036.npy,1,21_80,validation
MN_OCC_0037,patch_MN_OCC_0037.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0037.npy,1,21_80,validation
MN_OCC_0038,patch_MN_OCC_0038.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0038.npy,1,21_80,validation
MN_OCC_0039,patch_MN_OCC_0039.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0039.npy,1,21_79,train
MN_OCC_0040,patch_MN_OCC_0040.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0040.npy,1,21_80,validation
MN_OCC_0042,patch_MN_OCC_0042.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0042.npy,1,15_74,train
MN_OCC_0043,patch_MN_OCC_0043.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0043.npy,1,21_80,validation
MN_OCC_0044,patch_MN_OCC_0044.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0044.npy,1,21_80,validation
MN_OCC_0045,patch_MN_OCC_0045.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0045.npy,1,23_96,train
MN_OCC_0046,patch_MN_OCC_0046.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0046.npy,1,21_80,validation
MN_OCC_0048,patch_MN_OCC_0048.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0048.npy,1,21_80,validation
MN_OCC_0049,patch_MN_OCC_0049.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0049.npy,1,22_85,train
MN_OCC_0051,patch_MN_OCC_0051.npy,d:\mangan ai\data\training\patches\patch_MN_OCC_0051.npy,1,21_80,validation
