occurrence_id,site_name,latitude,longitude,crs,country,state,commodity,source_db,original_dep_id,sample_type,confidence_score,label
MN_OCC_0001,Laugur Mine,21.92946,80.35034,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10158629,Mine / Occurrence Site,0.95,1
MN_OCC_0002,Cape Gadani,29.96588,69.38662,EPSG:4326,India,Other State,Manganese,USGS MRDS,10090244,Mine / Occurrence Site,0.95,1
MN_OCC_0003,"Kodur, Garbham, and Perapi Mines",18.27479,83.55025,EPSG:4326,India,Odisha,Manganese,USGS MRDS,10304411,Mine / Occurrence Site,0.95,1
MN_OCC_0004,Manegaon Mines,21.82947,80.26034,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10183530,Mine / Occurrence Site,0.95,1
MN_OCC_0005,Goguldoho Mines: Western and East,21.40951,79.43036,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10134171,Mine / Occurrence Site,0.95,1
MN_OCC_0006,Maharashtra/Mahya Pradesh Area,21.99947,79.00038,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10279384,Mine / Occurrence Site,0.95,1
MN_OCC_0007,Kuttinga,19.1664,83.46695,EPSG:4326,India,Odisha,Manganese,USGS MRDS,10255709,Mine / Occurrence Site,0.95,1
MN_OCC_0008,Kanatola,21.87447,80.35034,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10003853,Mine / Occurrence Site,0.95,1
MN_OCC_0009,Adilabad,22.88286,79.61656,EPSG:4326,India,Other State,Manganese,USGS MRDS,10003832,Mine / Occurrence Site,0.95,1
MN_OCC_0010,Barbil,22.11614,85.3502,EPSG:4326,India,Odisha,Manganese,USGS MRDS,10231471,Mine / Occurrence Site,0.95,1
MN_OCC_0011,Enkatola,21.36618,80.16701,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10003845,Mine / Occurrence Site,0.95,1
MN_OCC_0012,Junewani Mines Area:  Junewani Mi,21.4795,79.26036,EPSG:4326,India,Madhya Pradesh / Maharashtra,Manganese,USGS MRDS,10207330,Mine / Occurrence Site,0.95,1
